Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Current XGBoost,0.8604919260512122,0.709858226178701,0.6435750850054179,0.675093577909734,0.9156096788803464
XGBoost Option 2,0.860037529767164,0.7088832068624217,0.6422673093449912,0.6739330732587089,0.9151784884049549
XGBoost Option 3,0.860820101145247,0.7101854517044286,0.6453312408922767,0.6762068830507811,0.9159175712052086
